seat_type,rank,percentile,gender,college_branch,,,
LOPENH,77244,52.2301039,F,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
LOBCH,84752,45.9187639,F,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
GOPENH,113264,14.9316558,M,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
GOPENO,108178,21.5067519,M,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
TFWS,48609,72.7702415,M,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
EWS,96766,34.1210946,M,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology",,,"Sant Gadge Baba Amravati University,Amravati Oil and Paints Technology "
GOPENH,110078,19.1072714,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
LOPENH,89462,41.9139826,F,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GOPENH,67801,59.6829046,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GSCH,76951,52.4476185,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GOBCH,103538,26.7890081,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GOPENO,47762,73.2440997,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GSCO,110780,17.8380677,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GOBCO,77606,51.9313711,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
EWS,115429,12.099832,M,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering",,,"Sant Gadge Baba Amravati University,Amravati Petro Chemical Engineering "
GOPENH,72032,56.7650587,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GSCH,107302,22.4871071,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GSTH,114482,12.9353233,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GVJH,85649,44.986801,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GNT1H,82211,48.2193247,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GNT2H,83614,46.4456321,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GOBCH,85512,44.986801,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LOPENH,68900,59.0639291,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LSCH,75744,53.8866742,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LOBCH,80795,49.0525702,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GSTH,103344,26.9007793,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GNT3H,79917,50.5614783,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GOPENO,71840,56.7650587,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GSCO,79705,50.5614783,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GSTO,102216,28.4814025,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GVJO,75155,54.124615,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GNT1O,91336,39.4227966,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GNT2O,101205,29.3331437,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GOBCO,74172,54.5241174,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LOPENO,85052,45.6704109,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LSCO,109364,19.8474395,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
LOBCO,87000,43.3167495,F,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
TFWS,56874,67.447284,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
EWS,97934,32.5908894,M,"Government College of Engineering,Yavatmal Civil Engineering",,,"Government College of Engineering,Yavatmal Civil Engineering "
GOPENH,24879,86.5576404,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GSCH,32136,82.59776,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
GSTH,79961,50.5614783,M,"Government College of Engineering,Yavatmal Computer Engineering",,,"Government College of Engineering,Yavatmal Computer Engineering "
